"Edit","Find and Replace","⌘F","In Windows"
"Run/Debug","Coverage SWTBot Test","⇧⌥E S","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Organize Imports","⇧⌘O","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Run/Debug","Debug TestNG Test","⇧⌥D N","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Run/Debug","Coverage JUnit Test","⇧⌥E T","In Windows"
"Run/Debug","Coverage RAP JUnit Test","⇧⌥E R","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"View","Zoom In","⌘=","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
